Date Cts +- State
55948.5 2.3232 0.0415 0
55949.5 3.4712 0.0564 0
55950.5 3.1811 0.0686 0
55951.5 2.0092 0.0508 0
55952.5 2.7403 0.0554 0
55953.5 2.4786 0.0506 0
55954.5 3.5409 0.0650 0
55955.5 3.9864 0.0668 0
55956.5 2.8387 0.0716 0
55983.5 1.7608 0.0781 0
55984.5 2.3542 0.0517 0
55985.5 2.6234 0.0535 0
55986.5 2.5908 0.0516 0
55987.5 2.3681 0.0557 0
55989.5 1.9827 0.0834 0
55990.5 2.1564 0.0464 0
55991.5 1.6526 0.0389 0
55992.5 1.7331 0.0413 0
55993.5 1.8068 0.0489 0
55994.5 1.9152 0.0494 0
55995.5 2.7292 0.0479 0
55996.5 2.1190 0.0356 0
55997.5 2.7927 0.0355 0
55998.5 2.3821 0.0340 0
55999.5 1.8945 0.0330 0
56000.5 2.3988 0.0341 0
56001.5 2.0042 0.0289 0
56002.5 1.9083 0.0265 0
56003.5 1.6227 0.0251 0
56004.5 1.9527 0.0254 0
56005.5 1.9356 0.0251 0
56006.5 1.9111 0.0258 0
56007.5 2.2692 0.0270 0
56008.5 2.2636 0.0280 0
56009.5 2.1893 0.0268 0
56010.5 1.8663 0.0260 0
56011.5 1.5071 0.0250 0
56012.5 1.6101 0.0253 0
56013.5 1.8925 0.0296 0
56014.5 2.0704 0.0312 0
56015.5 2.5748 0.0381 0
56016.5 2.3373 0.0350 0
56017.5 1.5481 0.0309 0
56018.5 1.8761 0.0399 0
56019.5 1.9448 0.0436 0
56020.5 2.6170 0.0478 0
56021.5 3.3428 0.0604 0
56022.5 3.1984 0.0598 0
56023.5 2.8336 0.0538 0
56024.5 3.4856 0.0595 0
56025.5 2.3117 0.0527 0
56026.5 2.2218 0.0498 0
56027.5 2.0895 0.0505 0
56028.5 2.0316 0.0966 0
56036.5 2.2480 0.0848 0
56039.5 1.4065 0.3418 0
56055.5 1.8989 0.0551 0
56056.5 2.0080 0.0471 0
56057.5 2.0504 0.0484 0
56058.5 1.7170 0.0428 0
56059.5 2.1753 0.0477 0
56060.5 2.1966 0.0471 0
56061.5 2.4178 0.0484 0
56062.5 2.6809 0.0509 0
56063.5 2.4616 0.0424 0
56064.5 2.8756 0.0440 0
56065.5 3.5674 0.0648 0
56066.5 2.9309 0.0929 0
56067.5 2.7677 0.0440 0
56068.5 2.5678 0.0396 0
56069.5 1.7675 0.0446 1
56070.5 1.8669 0.0371 1
56071.5 2.4647 0.0431 1
56072.5 1.8613 0.0355 1
56073.5 2.3855 0.0391 1
56074.5 2.2566 0.0382 1
56075.5 1.7443 0.0338 1
56076.5 2.1048 0.0353 1
56077.5 1.9496 0.0320 0
56078.5 2.5567 0.0372 0
56079.5 2.3218 0.0345 0
56080.5 1.9272 0.0331 0
56081.5 1.5092 0.0290 0
56082.5 1.9942 0.0327 0
56083.5 2.2610 0.0387 0
56084.5 1.9195 0.0335 0
56085.5 1.5504 0.0335 0
56086.5 2.1425 0.0404 0
56087.5 1.8781 0.0404 0
